Serial Number,title of page,Paragraph1,Paragraph2,Paragraph3
1,एव्हरेस्ट,"माउंट एव्हरेस्ट जगातील सर्वात उंच पर्वतशिखर आहे. हिमालय पर्वतातील ह्या शिखराची उंची ८,८४८.८६ मीटर (२९,०३१.६९ फूट)[१] इतकी असून ते नेपाळ व चीन (तिबेट) ह्या देशांच्या सीमेजवळ आहे. नेपाळमध्ये याला सागरमाथा म्हणून ओळखतात तर तिबेट मध्ये चोमो लुंग्मा म्हणतात.","सन १८५६ मध्ये ब्रिटिश राजवटीमधील भारतीय सर्वेक्षण विभागाने घेतलेल्या त्रिमितीय सर्वेक्षणामध्ये ह्या शिखराची उंची २९,०२९ फूट इतकी निश्चित करण्यात आली. ह्या अगोदर हे शिखर पीक XV ह्या नावाने ओळखले जात होते. सर्वेक्षणानंतर राधानाथ सिकदार यांनी सिद्ध केले की हिमालयाचे १५ वे शिखर जगातील सर्वात उंच शिखर आहे, आणि त्याची समुद्रसपाटीपासून उंची २९००२ फूट इतकी आहे. या कामगिरीसाठी ब्रिटिश सरकारने राधानाथांचा गौरव केला होता. त्या वेळचे भारतीय सर्वेक्षण खात्याचे प्रमुख(सर्व्हेयर जनरल) ॲन्ड्‌ऱ्यू वॉ होते. त्यांनी आपल्या इ.स.१८४३ मध्ये निवृत्त झालेल्या साहेबाचे, म्हणजे कर्नल सर जॉर्ज एव्हरेस्ट यांचे नाव त्या शिखराला दिले. म्हणून त्या शिखराला इ.स.१८६५ पासून माउंट एव्हरेस्ट म्हणू लागले.","माउंट एव्हरेस्ट हा जगातील सर्वात उंच पर्वत असल्याने जगातील सर्वच गिर्यारोहकांचे याला सर करण्याचे स्वप्न असते. अनेक गिर्यारोहक भरमसाठ किंमत मोजून (अंदाजे २५ हजार डॉलर प्रत्येकी) हे शिखर सर करण्याचा प्रयत्‍न करतात. माउंट एव्हरेस्ट हे अतिउंच शिखर असले तरी के२ अथवा कांचनगंगा ह्या इतर शिखरांच्या तुलनेत कमी अवघड आहे. इतर कोणत्याही ८,००० मीटरपेक्षा जास्त उंचीच्या शिखरांपेक्षा एव्हरेस्टवर सर्वाधिक गिर्यारोहण चढाया झाल्या आहेत, तरीही अतिउंचीच्या त्रासामुळे खराब हवामानामुळे अनेक गिर्यारोहक मृत्युमुखी पडतात. या शिखरावर पहिली चढाई १९५३ मध्ये ब्रिटिश मोहिमेतील न्यू झीलंडचे एडमंड हिलरी व भारतीय-नेपाळी नागरिक शेर्पा तेनसिंग नोर्गे यांनी केली. त्यानंतर आजवर २,४३६ गिर्यारोहकांकडून ३,६७९ चढाया झाल्या आहेत."
2,माँट ब्लॅंक,"मॉंट ब्लॅंक (फ्रेंच: Mont Blanc, इटालियन: Monte Bianco; पांढरे शिखर) हा आल्प्स पर्वतरांगेमधील मधील सर्वात उंचीचा पर्वत आहे. ४,८१० मीटर (१५,७८० फूट) उंचीचा हा पर्वत इटली व फ्रान्स देशांच्या सीमेवर स्थित असून तो युरोपियन संघाच्या देशांमधील सर्वात उंच पर्वत आहे.",,
3,त्सुगस्पिट्से,"त्सुगस्पिट्से जर्मनीतील सर्वात उंच ठिकाण. समुद्रसपाटीपासूनची उंची २,९६२ मी. जर्मनीतील सर्वात थंड ठिकाण म्हणून पण ओळखले जाते. हिवाळ्यात कधीकधी -२० ते - ४० पर्यंतहि तापमान खाली उतरते. स्किंग तसेच ट्रेकिंगसाठी प्रसिद्ध ठिकाण.",,
4,सान्तोरिनी,सान्तोरीनी ग्रीस देशाच्या अख्त्यारीखालील एजियन समुद्रातील बेट आहे. असे मानतात की ग्रीस मधील द्विपसमूहातील सर्वात सुंदर बेट आहे. हे बेट घोड्याच्या नाल्याच्या आकारात असून ज्वालामुखीने तयार झाले आहे. बेटामध्ये अजूनही काही ठिकाणी गरम पाण्याचे फवारे येतात. ग्रीक दंतकथांप्रमाणे पुराणकालीन अटलांटिस शहर हे याच बेटाच्या परिसरात वसले होते. काही हजार वर्षांपूर्वी ज्वालामुखीच्या उद्रेकात बेटाचा मध्यभाग पाण्याखाली गेला व आजचे दिसणारे सान्तोरिनी बेट राहिले. ग्रीसला भेट देणाऱ्या पर्यटकांच्या यादीत सान्तोरिनी हे बेट बहुतांशी समाविष्ट असते.,"या बेटाचे वैशिठ्य म्हणजे या बेटाला फारसा वाळूचा किनारा नाही आहे व पाण्यातून सरळ २०० मीटर उंच असा डोंगर कडा आहे. या डोंगरावर ज्वालामुखीचे विविध स्तर दिसतात व या विविध स्तरांमध्ये विविध जातींचे दगड पहावयास मिळतात. त्यामुळे भूगर्भ शास्त्रज्ञांच्या दृष्टीने या बेटाला निराळे महत्त्व आहे. डोंगर माथ्यावर बेटावरील गावे वसलेली असून थीरा, ऑया अशी काही गावे आहेत.",
5,माउंट मॅककिन्ले,"डेनाली किंवा माउंट मॅककिन्ले हे अमेरिकेच्या अलास्का राज्यामधील एक पर्वतशिखर आहे. समुद्रसपाटीपासून २०,३२० फूट उंच असलेले हे शिखर अमेरिका व उत्तर अमेरिका खंडामधील सर्वात उंच शिखर आहे.",,
6,ऑलिंपस पर्वत,"ऑलिंपस पर्वत (ग्रीक: Όλυμπος) हा ग्रीसमधील सर्वात उंच पर्वत आहे. त्याची समुद्रसपाटीपासून उंची २,९१९ मी. (९५७० फूट) आहे. हा पर्वत थेसालोनिकी शहरापासून १०० किमी अंतरावर स्थित आहे.
ग्रीक दंतकथेनुसार हा पर्वत देवांचे घर आहे.",,
7,नंगा पर्वत,"नंगा पर्वत (शब्दशः नग्न पर्वत) हा जगातील सर्वोच्च पर्वतांच्या यादीतील नवव्या क्रमांकाचा पर्वत असून त्याच्या सर्वोच्च शिखराची उंची ८,१२६ मी इतकी आहे. हे शिखर पूर्वी अतिशय खडतर मानले जायचे. त्याचे कारण याची अतिशय खडी चढाई व बर्फ व बेस कॅंपपासूनची उंची हे होते. अजूनही जगभरातल्या गिर्यारोहकांना या पर्वताची भुरळ आहे.",नंगा पर्वत हे हिमालयाचे पश्चिम टोक मानले जाते. या पुढील (उत्तर व पश्चिमेकडील) रांगा काराकोरम पर्वताच्या मानल्या जातात. काराकोरम रांग व नंगा पर्वत यांच्यामधून सिंधू नदी वाहते व ती नंगा पर्वताच्या उत्तरेकडे आहे.,नंगा पर्बत हे शिखर जगातील सर्वात झपाट्याने उंचावणारे शिखर आहे. परंतु याचबरोबर याची मृदा व येथे होणारी बर्फवृष्टी यामुळे याची सर्वाधिक झीज होणाऱ्या पर्वतांमध्येही गणना होते. हा भाग हिमालयातील सर्वांत शेवटी तयार झालेला भाग आहे. भूगोलतज्ज्ञांनुसार नंगा पर्बत शिखर तयार होण्यापूर्वी सिंधू नदी ही मध्य अशियात जात होती. नंगा पर्वत व काराकोरम रांगांमुळे हा भूभाग अजून उंचावला व सिंधू नदी अरबी समुद्राकडे वळवली गेली.[१]
8,अॅकोनकाग्वा,"अ‍ॅकोनकाग्वा हे अमेरिका खंडातील सर्वात उंच शिखर आहे. समुद्रसपाटीपासून ६,९६२ मी (२२,८४१ फूट) उंचीवर असलेले हे शिखर आन्देस पर्वतरांगेमध्ये आर्जेन्टिनाच्या मेन्दोसा प्रांतात स्थित आहे. हे शिखर सान हुआन प्रांतापासून ५ किमी अंतरावर तर चिले देशाच्या सीमेपासून १५ किमी अंतरावर आहे. अ‍ॅकोनकाग्वा हे दक्षिण व पश्चिम गोलार्धांमधील सर्वात उंच पर्वतशिखर आहे.",,
9,कांचनगंगा,"कांचनगंगा (नेपाळी: कञ्चनजङ्घा) हे हिमालय पर्वतांतील एक उंच पर्वतशिखर आहे. हे जगातील माउंट एव्हरेस्ट व के२ यांच्यानंतरचे तिसरे सर्वात उंच शिखर असून भारताच्या सिक्कीम राज्यात असून भारतीय भूमीतील सर्वोच्च शिखर आहे. याची उंची ८,५८६ मी (२८,१६९ फूट) इतकी आहे. याचे खरे स्थानिक लिम्बू भाषेतील नाव सेवालुंग्मा असे असून त्याचा अर्थ ज्याला आम्ही शुभेच्छा देतो असा पर्वत असा होतो. किरन्त धर्मामध्ये सेवालुंग्मा म्हणजे धार्मिक असे समजले जाते.",भारतीय चलनातील १०० रुपयांच्या नोटेच्या पृष्ठभागावरील हिमशिखर म्हणजे ‘माउंट कांचनगंगा’ होय. नेपाळ व भारतातील सिक्कीम राज्यालगतच्या सीमेवर हे शिखर वसलेले आहे. १९५५ साली ज्यो ब्राउन व जॉर्ज ब्रॅंड या ब्रिटिश गिर्यारोहकांनी ‘माउंट कांचनगंगा’वर सर्वात पहिली यशस्वी चढाई केली.,कांचनजंगा शिखर  सर करण्यात  महाराष्ट्रातून गिर्यारोहक हर्षद राव हा पहिला मानांकित ठरला आहे.
10,माउंट रशमोर,"माउंट रशमोर राष्ट्रीय स्मारक (इंग्लिश: Mount Rushmore National Memorial) हे अमेरिका देशाच्या साउथ डकोटा राज्यामधील एक स्मारक आहे. ह्या वास्तूमध्ये माउंट रशमोर ह्याच नावाच्या डोंगरावर शिल्पकला करून जॉर्ज वॉशिंग्टन, थॉमस जेफरसन, थियोडोर रूझवेल्ट व अब्राहम लिंकन ह्या चार माजी अमेरिकन राष्ट्राध्यक्षांचे ६० फूट उंचीचे पुतळे बनवण्यात आले आहेत.",ह्या स्मारकाच्या बांधकामाची सुरुवात इ.स. १९२७ साली डॅनिश-अमेरिकन बोर्ग्लम ह्या पिता-पुत्रांनी केली. इ.स. १९३४ ते इ.स. १९३९ दरम्यान सर्व चेहरे निर्माण करण्यात आले. ह्या भागातील पर्यटनाला चालना मिळावी ह्या उद्देशाने हे स्मारक बांधण्यात आले होते.,सध्या साउथ डकोटामधील पहिल्या क्रमांकाचे पर्यटनस्थळ असलेल्या माउंट रशमोरला दरवर्षी सुमारे ३० लाख पर्यटक भेट देतात.
