band,bandLabel
http://www.wikidata.org/wiki/Q513,एव्हरेस्ट
http://www.wikidata.org/wiki/Q583,माँट ब्लॅंक
http://www.wikidata.org/wiki/Q3375,त्सुगस्पिट्से
http://www.wikidata.org/wiki/Q129296,सान्तोरिनी
http://www.wikidata.org/wiki/Q130018,माउंट मॅककिन्ले
http://www.wikidata.org/wiki/Q80344,ऑलिंपस पर्वत
http://www.wikidata.org/wiki/Q130736,नंगा पर्वत
http://www.wikidata.org/wiki/Q39739,अॅकोनकाग्वा
http://www.wikidata.org/wiki/Q82019,कांचनगंगा
http://www.wikidata.org/wiki/Q83497,माउंट रशमोर
http://www.wikidata.org/wiki/Q43105,एल्ब्रुस पर्वत
http://www.wikidata.org/wiki/Q40758,माउंट दमावंद
http://www.wikidata.org/wiki/Q154372,माँते कॅसिनो
http://www.wikidata.org/wiki/Q16990,एटना
http://www.wikidata.org/wiki/Q7296,माउंट किलीमांजारो
http://www.wikidata.org/wiki/Q43512,के२
http://www.wikidata.org/wiki/Q170089,चो ओयु
http://www.wikidata.org/wiki/Q168702,ल्होत्से
http://www.wikidata.org/wiki/Q44211,कॉरिएंटेस
http://www.wikidata.org/wiki/Q170070,मनास्लु
http://www.wikidata.org/wiki/Q169986,मकालु
http://www.wikidata.org/wiki/Q180996,ब्रॉड पीक
http://www.wikidata.org/wiki/Q859376,व्होल्कान दे फुएगो
http://www.wikidata.org/wiki/Q190562,माउंट कॅमेरॉन
http://www.wikidata.org/wiki/Q870063,खाकाबो राझी
http://www.wikidata.org/wiki/Q213262,नंदादेवी
http://www.wikidata.org/wiki/Q213360,टेबल माउंटन
http://www.wikidata.org/wiki/Q229107,कैलास पर्वत
http://www.wikidata.org/wiki/Q657225,माउंट एल्बर्ट
http://www.wikidata.org/wiki/Q665321,पाइक्स पीक
http://www.wikidata.org/wiki/Q656608,ला प्लाटा पीक
http://www.wikidata.org/wiki/Q670233,ब्लांका पीक
http://www.wikidata.org/wiki/Q390831,अगस्त्यमला शिखर
http://www.wikidata.org/wiki/Q695221,माउंट अबू
http://www.wikidata.org/wiki/Q739945,माउंट मेलबर्न
http://www.wikidata.org/wiki/Q485550,अनाई मुदी शिखर
http://www.wikidata.org/wiki/Q515385,बेल्शेन
http://www.wikidata.org/wiki/Q1511454,कालापत्थर
http://www.wikidata.org/wiki/Q502645,"माउंट लिंकन, कॉलोराडो"
http://www.wikidata.org/wiki/Q1950508,माउंट हॅमिल्टन
http://www.wikidata.org/wiki/Q1747217,गिरनार
http://www.wikidata.org/wiki/Q2724466,पोन्मुदी
http://www.wikidata.org/wiki/Q1788964,माउंट मासिव्ह
http://www.wikidata.org/wiki/Q4117772,वेताळ टेकडी
http://www.wikidata.org/wiki/Q4853961,बाणासुर शिखर
http://www.wikidata.org/wiki/Q4245165,माउंट हार्वर्ड
http://www.wikidata.org/wiki/Q4245453,माउंट अँटेरो
http://www.wikidata.org/wiki/Q3861073,टियानमेन पर्वत
http://www.wikidata.org/wiki/Q3629166,कळसूबाई शिखर
http://www.wikidata.org/wiki/Q3632669,रतनगड
http://www.wikidata.org/wiki/Q4765772,अंजनेरी
http://www.wikidata.org/wiki/Q5090344,चेंब्रा शिखर
http://www.wikidata.org/wiki/Q4837287,माणिक्यधारा धबधबा
http://www.wikidata.org/wiki/Q5288607,दोई तुंग
http://www.wikidata.org/wiki/Q6919868,माउंट ब्रॉस
http://www.wikidata.org/wiki/Q6726455,मदनगड
http://www.wikidata.org/wiki/Q7404420,साल्हेर
http://www.wikidata.org/wiki/Q8522735,माउंट डेमोक्रॅट
http://www.wikidata.org/wiki/Q8531005,पर्वती टेकडी
http://www.wikidata.org/wiki/Q7825964,तोरणा
http://www.wikidata.org/wiki/Q16508414,कलावंती दुर्ग
http://www.wikidata.org/wiki/Q13359059,माउंट दियाब्लो
http://www.wikidata.org/wiki/Q99194416,हब्बा खातून
